Name,Pronoun,Institution,Email
John Doe, He/Him, "University of Life (Street, US)", john.doe@uol.com
Jane Smith,She/Her,University of XYZ,jane.smith@universityxyz.edu
Alex Johnson,They/Them,ABC College,alex.johnson@abccollege.edu
Sarah Davis,She/Her,University of ABC,sarah.davis@universityabc.edu
Mark Thompson,He/Him,XYZ University,mark.thompson@xyzuniversity.edu
Emily Wilson,She/Her,DEF College,emily.wilson@defcollege.edu
Michael Brown,He/Him, University of QRS,michael.brown@universityqrs.edu
Sophia Lee,She/Her,GHI University,sophia.lee@ghiuniversity.edu
Mark Thompson,He/Him,XYZ University,mark.thompson@xyzuniversity.edu
Emily Wilson,She/Her,DEF College,emily.wilson@defcollege.edu
Michael Brown,He/Him, University of QRS,michael.brown@universityqrs.edu
Sophia Lee,She/Her,GHI University,sophia.lee@ghiuniversity.edu
